zip1,borough,asphalt,missing,faded,complaints,income,pop,pwhite,pblack,pcomp,pcompa,pcompm,pcompf
ZIP_10001,MANHATTAN,1497,1,23,1521,159847,22767,60.5,11.4,0.066807221,0.065753064,0.000043923,0.001010234
ZIP_10002,MANHATTAN,1530,7,38,1575,75330,79894,31.2,7.6,0.019713621,0.019150374,0.000087616,0.00047563
ZIP_10003,MANHATTAN,1753,3,38,1794,159651,57068,77.2,4.6,0.031436181,0.03071774,0.000052569,0.000665872
ZIP_10004,MANHATTAN,465,0,14,479,186872,3024,77.4,2.3,0.158399471,0.153769841,0,0.00462963
ZIP_10005,MANHATTAN,389,0,6,395,187011,7570,74.9,3.7,0.052179657,0.051387054,0,0.000792602
ZIP_10006,MANHATTAN,209,0,4,213,163900,2950,71.5,3.2,0.07220339,0.070847458,0,0.001355932
ZIP_10007,MANHATTAN,685,1,20,706,415435,6748,67.2,7,0.104623592,0.101511559,0.000148192,0.002963841
ZIP_10009,MANHATTAN,903,7,13,923,99435,61806,59.8,6.8,0.014933825,0.014610232,0.000113258,0.000210336
ZIP_10010,MANHATTAN,624,1,16,641,163529,30708,72.4,6.5,0.020874039,0.020320438,0.000032565,0.000521037
ZIP_10011,MANHATTAN,1473,4,30,1507,196497,52941,79.3,3.8,0.02846565,0.027823426,0.000075556,0.000566669
ZIP_10012,MANHATTAN,799,0,19,818,144485,24846,76,2.4,0.032922804,0.032158094,0,0.000764711
ZIP_10013,MANHATTAN,1634,2,29,1665,226647,26937,56.3,4.2,0.061810892,0.060660059,0.000074247,0.001076586
ZIP_10014,MANHATTAN,1126,2,24,1152,176533,31835,89.3,1.6,0.036186587,0.035369876,0.000062824,0.000753887
ZIP_10016,MANHATTAN,1541,4,24,1569,165258,50112,72.1,3.8,0.031309866,0.030751117,0.000079821,0.000478927
ZIP_10017,MANHATTAN,1048,0,5,1053,166068,16278,72.6,2.8,0.064688537,0.064381374,0,0.000307163
ZIP_10018,MANHATTAN,687,0,11,698,144821,8062,55.6,6.1,0.086579013,0.085214587,0,0.001364426
ZIP_10019,MANHATTAN,2079,2,47,2128,145975,38752,72.5,5.5,0.054913295,0.053648844,0.00005161,0.001212841
ZIP_10021,MANHATTAN,1054,2,18,1074,184393,42142,84.1,2,0.025485264,0.025010678,0.000047459,0.000427127
ZIP_10022,MANHATTAN,1812,1,26,1839,212092,29699,86.1,1.6,0.061921277,0.061012155,0.000033671,0.00087545
ZIP_10023,MANHATTAN,1438,5,21,1464,192865,60762,83.1,2.8,0.024094006,0.023666107,0.000082288,0.000345611
ZIP_10024,MANHATTAN,1080,4,5,1089,195093,59249,81.3,6.1,0.018380057,0.018228156,0.000067512,8.43896E-05
ZIP_10025,MANHATTAN,1436,14,33,1483,131372,97373,64.7,15.5,0.015230095,0.014747415,0.000143777,0.000338903
ZIP_10026,MANHATTAN,460,4,7,471,89901,38372,23.9,57.4,0.012274575,0.011987908,0.000104243,0.000182425
ZIP_10027,MANHATTAN,1306,2,27,1335,86324,63057,28.5,41.7,0.021171321,0.02071142,0.000031717,0.000428184
ZIP_10028,MANHATTAN,870,5,9,884,196198,46169,88.4,1.2,0.019147047,0.018843813,0.000108298,0.000194936
ZIP_10029,MANHATTAN,1350,2,17,1369,71786,77857,32.1,30.5,0.017583519,0.017339481,0.000025688,0.000218349
ZIP_10030,MANHATTAN,291,0,5,296,61402,29530,13,70.5,0.010023705,0.009854385,0,0.000169319
ZIP_10031,MANHATTAN,708,1,6,715,62336,58912,27.6,34.1,0.012136746,0.012017925,0.000016974,0.000101847
ZIP_10032,MANHATTAN,886,5,25,916,55024,59069,29.8,21.8,0.015507288,0.014999407,0.000084647,0.000423234
ZIP_10033,MANHATTAN,944,6,21,971,69811,60520,41.7,8.6,0.016044283,0.015598149,0.000099141,0.000346993
ZIP_10034,MANHATTAN,947,2,45,994,62728,42672,36.2,7.9,0.023293963,0.022192538,0.000046869,0.001054556
ZIP_10035,MANHATTAN,694,2,15,711,63897,34760,21.4,41.5,0.020454545,0.019965478,0.000057537,0.00043153
ZIP_10036,MANHATTAN,1735,2,19,1756,127438,24127,66.9,7.4,0.072781531,0.071911137,0.000082895,0.000787499
ZIP_10037,MANHATTAN,240,1,13,254,56809,18041,10.7,73.8,0.014079042,0.013303032,0.000055429,0.000720581
ZIP_10038,MANHATTAN,570,0,4,574,141608,20997,49.4,6,0.027337239,0.027146735,0,0.000190503
ZIP_10039,MANHATTAN,271,0,7,278,52952,25952,13.9,65,0.010712084,0.010442355,0,0.000269729
ZIP_10040,MANHATTAN,544,3,15,562,65091,45278,38.3,9.9,0.012412209,0.012014665,0.000066257,0.000331287
ZIP_10044,MANHATTAN,8,0,0,8,116573,12050,55.8,14.1,0.0006639,0.0006639,0,0
ZIP_10065,MANHATTAN,1041,1,13,1055,200596,31761,87.4,3,0.033216838,0.032776046,0.000031485,0.000409307
ZIP_10069,MANHATTAN,43,0,1,44,230004,5523,75.9,2.8,0.007966685,0.007785624,0,0.000181061
ZIP_10075,MANHATTAN,630,1,6,637,190868,24377,89.2,1,0.026131189,0.025844033,0.000041022,0.000246134
ZIP_10128,MANHATTAN,961,2,19,982,175270,62447,81.2,4.7,0.015725335,0.01538905,0.000032027,0.000304258
ZIP_10162,MANHATTAN,1,0,0,1,214973,1252,94.9,0,0.000798722,0.000798722,0,0
ZIP_10280,MANHATTAN,94,0,5,99,185322,8817,71.9,0.9,0.011228309,0.010661223,0,0.000567086
ZIP_10282,MANHATTAN,26,1,4,31,340196,5903,73.5,1.4,0.005251567,0.00440454,0.000169405,0.000677622
ZIP_10301,STATEN ISLAND,3407,8,39,3454,84284,39367,57.6,26,0.087738461,0.086544568,0.000203216,0.000990677
ZIP_10302,STATEN ISLAND,1139,0,10,1149,80774,18043,60.8,20,0.063681206,0.063126974,0,0.000554232
ZIP_10303,STATEN ISLAND,1549,4,8,1561,79488,24348,38.7,37.3,0.064112042,0.063619188,0.000164285,0.000328569
ZIP_10304,STATEN ISLAND,3283,5,37,3325,86741,41864,50.6,26.6,0.079423849,0.0784206,0.000119434,0.000883814
ZIP_10305,STATEN ISLAND,3483,7,26,3516,88783,41471,77.5,4.3,0.084782137,0.0839864,0.000168793,0.000626944
ZIP_10306,STATEN ISLAND,5510,17,95,5622,101351,54888,89,3.1,0.10242676,0.100386241,0.000309722,0.001730797
ZIP_10307,STATEN ISLAND,1021,0,11,1032,111811,15006,94.2,0.1,0.068772491,0.068039451,0,0.00073304
ZIP_10308,STATEN ISLAND,2768,1,24,2793,105838,29805,93.8,0.1,0.093709109,0.092870324,0.000033551,0.000805234
ZIP_10309,STATEN ISLAND,3929,10,27,3966,116523,33382,91.7,2.4,0.118806542,0.117698161,0.000299563,0.000808819
ZIP_10310,STATEN ISLAND,1969,0,19,1988,82566,24719,57.2,26.6,0.080423965,0.079655326,0,0.00076864
ZIP_10312,STATEN ISLAND,5685,24,87,5796,104570,61105,92.4,0.9,0.094853122,0.093036576,0.000392767,0.001423779
ZIP_10314,STATEN ISLAND,7603,15,112,7730,95273,87524,77.2,4.5,0.088318633,0.086867602,0.000171382,0.001279649
ZIP_10451,BRONX,1158,5,31,1194,44255,47818,14.8,43.2,0.024969677,0.024216822,0.000104563,0.000648291
ZIP_10452,BRONX,892,0,14,906,39915,75252,15.1,34,0.012039547,0.011853506,0,0.000186042
ZIP_10453,BRONX,1014,4,26,1044,38229,79002,10.1,32,0.013214855,0.012835118,0.000050632,0.000329106
ZIP_10454,BRONX,916,0,22,938,39218,38751,24.5,32.4,0.024205827,0.0236381,0,0.000567727
